order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
1,1,232,4,124.53,0,498.12
2,1,241,7,1377.82,0,9644.74
3,1,221,8,586.09,20,3750.98
4,1,98,7,1243.15,5,8266.95
5,1,457,3,157.88,20,378.91
6,2,454,2,1680.29,15,2856.49
7,2,187,9,1183.09,5,10115.42
8,2,495,8,600.53,0,4804.24
9,2,262,6,1216.68,15,6205.07
10,3,237,6,1392.56,20,6684.29
11,3,481,10,341.6,20,2732.8
12,3,258,1,1814.62,5,1723.89
13,3,93,6,1171.14,0,7026.84
14,4,458,9,1862.19,20,13407.77
15,4,253,3,484.47,15,1235.4
16,4,142,8,235.4,0,1883.2
17,5,350,1,404.35,15,343.7
18,5,32,10,1392.28,0,13922.8
19,6,213,1,1142.77,5,1085.63
20,6,160,4,1923.61,10,6925.0
21,6,353,4,1282.68,0,5130.72
22,6,48,3,1087.91,10,2937.36
23,7,175,7,1894.26,0,13259.82
24,7,333,6,260.98,20,1252.7
25,8,365,5,108.38,0,541.9
26,8,66,4,1426.2,5,5419.56
27,8,55,8,1170.5,5,8895.8
28,8,241,3,1377.82,0,4133.46
29,9,333,7,260.98,10,1644.17
30,9,220,1,578.51,5,549.58
31,10,79,8,742.82,0,5942.56
32,10,308,5,1628.59,5,7735.8
33,10,129,6,1531.01,10,8267.45
34,11,176,4,1289.96,5,4901.85
35,11,371,4,1502.39,20,4807.65
36,11,40,10,93.82,0,938.2
37,11,130,8,627.42,15,4266.46
38,11,431,2,1905.44,0,3810.88
39,12,422,6,1677.38,10,9057.85
40,12,189,3,215.25,15,548.89
41,13,454,4,1680.29,10,6049.04
42,13,451,8,735.14,15,4998.95
43,13,406,7,320.6,0,2244.2
44,13,132,7,1516.96,10,9556.85
45,14,465,4,1963.77,10,7069.57
46,15,342,10,195.71,10,1761.39
47,15,196,7,1771.74,10,11161.96
48,15,222,9,836.98,5,7156.18
49,16,105,6,330.06,15,1683.31
50,16,120,2,973.47,0,1946.94
51,16,234,4,485.17,15,1649.58
52,16,24,5,1923.55,0,9617.75
53,16,275,3,777.94,0,2333.82
54,17,420,3,1987.19,10,5365.41
55,17,8,8,1958.73,15,13319.36
56,18,278,6,1759.91,15,8975.54
57,18,163,7,487.37,20,2729.27
58,18,351,1,1151.03,20,920.82
59,18,78,8,905.81,0,7246.48
60,18,309,5,793.8,5,3770.55
61,19,276,3,1707.29,0,5121.87
62,19,415,3,1974.19,5,5626.44
63,19,386,9,1837.39,10,14882.86
64,19,440,4,1586.56,20,5076.99
65,19,111,3,766.36,20,1839.26
66,20,360,1,1455.64,20,1164.51
67,20,154,9,1085.71,20,7817.11
68,20,291,7,1997.04,20,11183.42
69,21,284,8,266.72,15,1813.7
70,21,189,2,215.25,20,344.4
71,21,280,2,120.43,0,240.86
72,22,138,9,1878.35,15,14369.38
73,22,310,1,576.89,5,548.05
74,23,274,2,489.89,10,881.8
75,23,446,6,291.58,20,1399.58
76,24,432,8,1877.27,15,12765.44
77,24,24,4,1923.55,10,6924.78
78,24,179,2,1506.0,0,3012.0
79,24,172,3,939.62,20,2255.09
80,24,102,4,535.23,5,2033.87
81,25,26,7,1504.89,0,10534.23
82,25,276,6,1707.29,15,8707.18
83,25,69,5,1155.61,10,5200.24
84,25,441,1,923.9,5,877.7
85,26,115,8,1904.75,15,12952.3
86,26,285,7,1677.42,5,11154.84
87,26,484,4,352.13,0,1408.52
88,26,387,3,1577.65,0,4732.95
89,26,287,4,788.81,5,2997.48
90,27,76,6,1027.75,0,6166.5
91,27,179,1,1506.0,5,1430.7
92,27,411,9,579.91,15,4436.31
93,27,145,5,631.13,20,2524.52
94,28,419,3,642.36,5,1830.73
95,28,363,6,732.18,0,4393.08
96,28,297,3,899.33,5,2563.09
97,28,444,5,812.94,0,4064.7
98,29,16,1,1447.82,15,1230.65
99,30,358,3,12.81,20,30.74
100,31,12,2,657.19,10,1182.94
101,32,364,4,821.41,5,3121.36
102,32,291,9,1997.04,5,17074.69
103,33,75,9,1908.57,15,14600.56
104,33,363,5,732.18,0,3660.9
105,33,334,9,1688.52,20,12157.34
106,33,419,8,642.36,20,4111.1
107,34,400,1,294.37,0,294.37
108,34,408,3,8.24,15,21.01
109,34,169,9,842.98,15,6448.8
110,34,344,6,135.11,0,810.66
111,34,472,7,1453.83,0,10176.81
112,35,303,7,137.82,10,868.27
113,35,189,10,215.25,0,2152.5
114,35,199,6,202.31,20,971.09
115,36,98,7,1243.15,0,8702.05
116,36,363,3,732.18,20,1757.23
117,36,28,1,770.75,5,732.21
118,36,274,7,489.89,5,3257.77
119,37,289,10,1557.75,20,12462.0
120,37,397,10,901.83,10,8116.47
121,38,169,7,842.98,0,5900.86
122,38,215,2,905.65,5,1720.73
123,38,465,3,1963.77,5,5596.74
