order_id,customer_id,order_date,order_status
1,403,2025-04-12,Shipped
2,163,2025-11-28,Completed
3,724,2025-05-07,Shipped
4,421,2024-12-29,Shipped
5,755,2025-03-22,Completed
6,200,2025-05-31,Completed
7,444,2024-12-03,Shipped
8,131,2024-07-03,Completed
9,968,2025-12-07,Shipped
10,710,2026-02-01,Cancelled
11,806,2026-03-10,Completed
12,80,2025-08-06,Shipped
13,808,2025-10-19,Shipped
14,620,2026-01-14,Completed
15,58,2026-05-18,Pending
16,242,2024-11-14,Pending
17,86,2025-03-15,Cancelled
18,506,2026-04-23,Cancelled
19,835,2025-08-28,Pending
20,610,2024-11-26,Cancelled
21,898,2025-12-17,Shipped
22,321,2025-02-17,Cancelled
23,417,2025-01-18,Pending
24,786,2025-02-10,Completed
25,627,2025-08-13,Cancelled
26,66,2024-11-25,Pending
27,546,2025-09-21,Completed
28,413,2025-01-26,Pending
29,890,2025-02-03,Completed
30,462,2025-07-29,Cancelled
31,520,2026-03-25,Shipped
32,185,2024-11-04,Cancelled
33,704,2024-07-15,Pending
34,570,2024-12-01,Shipped
35,740,2025-04-06,Cancelled
36,577,2025-09-11,Completed
37,775,2025-11-15,Shipped
38,332,2025-11-09,Completed
39,888,2025-06-10,Completed
40,397,2025-12-17,Pending
41,540,2024-12-24,Shipped
42,509,2025-05-10,Shipped
43,332,2026-03-07,Shipped
44,607,2024-06-21,Completed
45,720,2024-08-18,Pending
46,402,2024-12-10,Completed
47,974,2026-05-26,Shipped
48,704,2025-09-27,Pending
49,473,2024-08-01,Pending
50,59,2025-10-23,Pending
51,639,2024-11-23,Completed
52,568,2025-01-01,Shipped
53,601,2024-07-02,Pending
54,684,2025-12-01,Completed
55,477,2024-06-28,Completed
56,170,2025-02-14,Cancelled
57,54,2026-02-03,Pending
58,439,2026-02-27,Shipped
59,541,2024-11-16,Cancelled
60,555,2024-06-18,Pending
61,723,2026-02-21,Pending
62,999,2025-11-28,Cancelled
63,324,2024-06-10,Cancelled
64,105,2025-09-24,Cancelled
65,569,2026-04-06,Completed
66,325,2025-10-21,Cancelled
67,622,2025-08-14,Cancelled
68,842,2026-04-21,Completed
69,887,2025-08-28,Pending
70,547,2024-08-02,Cancelled
71,318,2024-11-21,Cancelled
72,386,2024-12-01,Completed
73,990,2025-09-22,Shipped
74,866,2024-07-11,Shipped
75,681,2025-09-30,Shipped
76,430,2025-11-12,Shipped
77,449,2025-07-17,Cancelled
78,131,2025-06-04,Cancelled
79,70,2025-06-26,Shipped
80,411,2026-03-29,Completed
81,215,2024-06-29,Cancelled
82,939,2024-05-29,Pending
83,604,2025-07-26,Shipped
84,635,2026-02-13,Pending
85,653,2024-09-03,Shipped
86,803,2025-08-06,Completed
87,73,2024-07-11,Shipped
88,514,2024-10-09,Completed
89,157,2025-07-04,Completed
90,530,2025-11-22,Completed
91,408,2024-09-25,Pending
92,933,2025-03-01,Shipped
93,38,2025-12-22,Shipped
94,179,2024-09-14,Completed
95,12,2025-10-24,Pending
96,198,2024-06-17,Completed
97,87,2025-10-20,Shipped
98,20,2024-09-06,Pending
99,954,2025-04-03,Shipped
100,656,2024-09-07,Pending
101,974,2025-02-28,Completed
102,363,2026-02-13,Cancelled
103,484,2026-02-03,Completed
104,914,2025-08-08,Completed
105,573,2024-08-07,Shipped
106,857,2024-07-28,Cancelled
107,66,2024-12-05,Completed
108,337,2025-11-10,Cancelled
109,962,2024-12-13,Shipped
110,799,2024-08-18,Cancelled
111,218,2025-11-05,Pending
112,639,2026-05-22,Completed
113,162,2025-04-03,Completed
114,731,2025-09-13,Completed
115,69,2024-12-09,Shipped
116,836,2024-09-19,Pending
117,236,2026-01-23,Pending
118,665,2024-12-20,Cancelled
119,843,2024-08-05,Shipped
120,453,2025-03-07,Shipped
121,23,2026-04-26,Cancelled
122,952,2024-07-18,Completed
123,896,2025-12-27,Cancelled
124,712,2025-05-15,Cancelled
125,706,2025-03-18,Shipped
126,346,2025-12-01,Shipped
127,706,2025-03-19,Pending
128,571,2026-01-12,Shipped
129,665,2024-09-17,Pending
130,81,2024-07-16,Shipped
131,483,2025-04-15,Shipped
132,22,2024-08-31,Shipped
133,842,2025-10-17,Cancelled
