product_id,product_name,category,subcategory,unit_price
1,Floyd-Rogers Paper,Office Supplies,Paper,1904.69
2,Ramos-Mack Monitor,Technology,Monitor,783.28
3,Kane-Johnson Keyboard,Technology,Keyboard,1003.07
4,Bell-Mckinney Keyboard,Technology,Keyboard,1254.13
5,"Molina, Smith and Smith Stapler",Office Supplies,Stapler,1066.77
6,Chapman-Flowers Table,Furniture,Table,538.91
7,Harris-Thompson Chair,Furniture,Chair,188.98
8,Robinson Ltd Table,Furniture,Table,1958.73
9,Hayes-Wu Monitor,Technology,Monitor,1432.63
10,Hill-Harris Monitor,Technology,Monitor,170.22
11,Hardy-Ingram Pen,Office Supplies,Pen,740.54
12,Collins PLC Paper,Office Supplies,Paper,657.19
13,"Guzman, Hood and Wells Binder",Office Supplies,Binder,648.05
14,"Horton, Ward and Johnson Keyboard",Technology,Keyboard,473.49
15,Dillon Group Laptop,Technology,Laptop,1288.98
16,Buck-Johnson Paper,Office Supplies,Paper,1447.82
17,"Reynolds, Stevens and Williams Table",Furniture,Table,1889.41
18,Fisher LLC Chair,Furniture,Chair,323.72
19,"Gilmore, Flores and Perez Stapler",Office Supplies,Stapler,1014.29
20,Smith-Meyer Chair,Furniture,Chair,1319.71
21,Scott-Shelton Mouse,Technology,Mouse,568.28
22,Wells Ltd Mouse,Technology,Mouse,146.76
23,"Stephens, Moore and Hodges Laptop",Technology,Laptop,1041.89
24,"Jones, Cook and Barnes Chair",Furniture,Chair,1923.55
25,Rodriguez Inc Binder,Office Supplies,Binder,1494.71
26,Simpson Ltd Table,Furniture,Table,1504.89
27,Mitchell-Smith Chair,Furniture,Chair,842.69
28,"Jackson, Rios and Montes Mouse",Technology,Mouse,770.75
29,Benton Inc Paper,Office Supplies,Paper,1896.01
30,Carney-Harding Keyboard,Technology,Keyboard,442.11
31,Barrett Inc Chair,Furniture,Chair,1434.35
32,"Rivera, Harris and Williams Laptop",Technology,Laptop,1392.28
33,May PLC Desk,Furniture,Desk,1635.02
34,"Mckee, Thompson and Jefferson Mouse",Technology,Mouse,993.89
35,Barrett Group Binder,Office Supplies,Binder,623.26
36,"Day, Vaughan and Mills Keyboard",Technology,Keyboard,1446.58
37,Green Ltd Mouse,Technology,Mouse,1017.66
38,Peters-Gould Desk,Furniture,Desk,76.5
39,"Mercer, Oconnor and Mitchell Keyboard",Technology,Keyboard,1325.21
40,Young-Davidson Laptop,Technology,Laptop,93.82
41,Martinez-Mcclain Paper,Office Supplies,Paper,1675.16
42,Moon LLC Chair,Furniture,Chair,1227.2
43,"Williams, Graham and Grimes Monitor",Technology,Monitor,1901.79
44,Walker-Fritz Keyboard,Technology,Keyboard,1255.5
45,Blackwell Group Desk,Furniture,Desk,676.73
46,Gutierrez-Bonilla Binder,Office Supplies,Binder,1557.13
47,Perez-Singh Stapler,Office Supplies,Stapler,1139.95
48,"Ochoa, Reeves and Martin Monitor",Technology,Monitor,1087.91
49,Rodriguez-Frazier Monitor,Technology,Monitor,481.5
50,"James, Lewis and Walter Mouse",Technology,Mouse,1016.82
51,Smith-Thomas Stapler,Office Supplies,Stapler,1600.55
52,Kim-Hayes Keyboard,Technology,Keyboard,1909.89
53,Norton and Sons Mouse,Technology,Mouse,689.48
54,Nelson Ltd Keyboard,Technology,Keyboard,706.34
55,Tanner Group Paper,Office Supplies,Paper,1170.5
56,"Harrell, Bennett and Wallace Monitor",Technology,Monitor,841.29
57,Fuller-French Desk,Furniture,Desk,286.07
58,Taylor-Villarreal Desk,Furniture,Desk,1325.11
59,"Aguilar, Floyd and Warner Paper",Office Supplies,Paper,1886.68
60,"Lawson, Harrison and Meyer Stapler",Office Supplies,Stapler,85.07
61,Clarke-Chase Bookcase,Furniture,Bookcase,1578.88
62,Jordan-Harris Stapler,Office Supplies,Stapler,1072.99
63,Gibson Group Monitor,Technology,Monitor,213.85
64,Foster Ltd Laptop,Technology,Laptop,944.1
65,Jones-Miller Binder,Office Supplies,Binder,1001.49
66,Taylor Group Stapler,Office Supplies,Stapler,1426.2
67,"Garcia, Phillips and Woodard Pen",Office Supplies,Pen,887.13
68,Cook-Cox Table,Furniture,Table,1003.38
69,Stevenson LLC Stapler,Office Supplies,Stapler,1155.61
70,"Curtis, Wilson and Howard Bookcase",Furniture,Bookcase,1958.35
71,Paul and Sons Paper,Office Supplies,Paper,973.3
72,Hayes-Lewis Laptop,Technology,Laptop,746.15
73,Hardy Inc Stapler,Office Supplies,Stapler,1979.95
74,"Humphrey, Smith and Bowers Bookcase",Furniture,Bookcase,1837.01
75,Rodriguez PLC Stapler,Office Supplies,Stapler,1908.57
76,Archer LLC Table,Furniture,Table,1027.75
77,"Tucker, Adams and Copeland Binder",Office Supplies,Binder,1362.58
78,Phillips PLC Binder,Office Supplies,Binder,905.81
79,Fitzgerald Ltd Chair,Furniture,Chair,742.82
80,Cain and Sons Bookcase,Furniture,Bookcase,606.39
81,Duncan Group Desk,Furniture,Desk,1196.09
82,Griffith and Sons Keyboard,Technology,Keyboard,1419.84
83,Johnston Ltd Table,Furniture,Table,168.46
84,"Singleton, Cabrera and Foster Keyboard",Technology,Keyboard,1616.1
85,Mills Group Table,Furniture,Table,955.5
86,"Greene, Garcia and Bush Binder",Office Supplies,Binder,90.3
87,"Smith, Johnson and Ramirez Binder",Office Supplies,Binder,1441.49
88,Mcmahon-Evans Desk,Furniture,Desk,1410.94
89,Dalton Group Bookcase,Furniture,Bookcase,1555.84
90,Howell-Gilbert Keyboard,Technology,Keyboard,187.64
91,Thompson-Clay Keyboard,Technology,Keyboard,343.2
92,Santiago-Holland Laptop,Technology,Laptop,1077.4
93,Bush Group Monitor,Technology,Monitor,1171.14
94,"Reilly, Haynes and White Paper",Office Supplies,Paper,1375.3
95,Moreno-Hayes Laptop,Technology,Laptop,876.51
96,Russo LLC Paper,Office Supplies,Paper,1916.16
97,Diaz PLC Stapler,Office Supplies,Stapler,980.97
98,Hernandez Inc Keyboard,Technology,Keyboard,1243.15
99,Cline Group Binder,Office Supplies,Binder,687.18
100,"Reed, Bass and Lopez Pen",Office Supplies,Pen,210.37
101,Carson Inc Chair,Furniture,Chair,1832.07
102,Soto-Allen Bookcase,Furniture,Bookcase,535.23
103,"Anderson, Jones and Jones Paper",Office Supplies,Paper,525.66
104,Cooper-Hughes Binder,Office Supplies,Binder,1161.65
105,"Davidson, Oneal and Vasquez Paper",Office Supplies,Paper,330.06
106,"Villa, Thompson and Higgins Paper",Office Supplies,Paper,1631.81
107,Vasquez LLC Paper,Office Supplies,Paper,1039.93
108,Crosby-Hayden Bookcase,Furniture,Bookcase,1686.43
109,Shaw-Weiss Pen,Office Supplies,Pen,620.99
110,Parker-Johnson Laptop,Technology,Laptop,222.19
111,Williams Group Stapler,Office Supplies,Stapler,766.36
112,"Gonzales, Bernard and Santana Pen",Office Supplies,Pen,983.55
113,Peterson and Sons Keyboard,Technology,Keyboard,730.25
114,English Group Paper,Office Supplies,Paper,1230.68
115,"Harper, Campbell and Arnold Stapler",Office Supplies,Stapler,1904.75
116,"Mcdonald, Ruiz and Todd Table",Furniture,Table,761.02
117,Wilson Inc Chair,Furniture,Chair,117.86
118,"Norris, Phillips and Werner Bookcase",Furniture,Bookcase,1880.58
119,Murray and Sons Bookcase,Furniture,Bookcase,1274.38
120,Townsend-Williams Binder,Office Supplies,Binder,973.47
121,Salazar and Sons Pen,Office Supplies,Pen,773.12
122,Brown and Sons Table,Furniture,Table,1626.29
123,Johnson Ltd Paper,Office Supplies,Paper,169.62
124,"Bennett, Hobbs and Swanson Binder",Office Supplies,Binder,1888.05
125,Moore-Mcdaniel Pen,Office Supplies,Pen,260.04
126,Lutz-Aguilar Table,Furniture,Table,1445.28
127,Fitzgerald-Curtis Chair,Furniture,Chair,1406.82
128,Terry LLC Desk,Furniture,Desk,1773.58
129,Lewis PLC Keyboard,Technology,Keyboard,1531.01
130,Monroe Group Laptop,Technology,Laptop,627.42
131,Parker-King Chair,Furniture,Chair,583.3
132,"Weber, Miller and Nguyen Laptop",Technology,Laptop,1516.96
133,"Sanchez, Wright and Cherry Keyboard",Technology,Keyboard,86.12
134,"West, Escobar and Thompson Binder",Office Supplies,Binder,1612.67
135,Turner Ltd Table,Furniture,Table,1605.07
136,Long-Vazquez Keyboard,Technology,Keyboard,1543.78
137,Richardson Group Desk,Furniture,Desk,1736.9
138,Cantrell and Sons Desk,Furniture,Desk,1878.35
139,James-Mann Keyboard,Technology,Keyboard,817.79
140,"Hernandez, Jackson and Carpenter Binder",Office Supplies,Binder,137.47
141,Newman-Grimes Binder,Office Supplies,Binder,1089.01
142,"Stanley, Peck and Knox Bookcase",Furniture,Bookcase,235.4
143,Brooks-Burns Monitor,Technology,Monitor,1085.6
144,Olson Ltd Stapler,Office Supplies,Stapler,18.18
145,Jennings and Sons Paper,Office Supplies,Paper,631.13
146,Black LLC Bookcase,Furniture,Bookcase,1561.84
147,Jones-Carr Binder,Office Supplies,Binder,1034.13
148,Evans LLC Stapler,Office Supplies,Stapler,447.49
149,Lewis Inc Keyboard,Technology,Keyboard,997.4
150,Gross Ltd Desk,Furniture,Desk,1507.33
151,Williams-Reed Mouse,Technology,Mouse,1841.2
152,Jones LLC Desk,Furniture,Desk,962.85
153,Grant LLC Bookcase,Furniture,Bookcase,643.2
154,Williams Group Pen,Office Supplies,Pen,1085.71
155,Henry-Fisher Paper,Office Supplies,Paper,600.19
156,Stevens-Golden Table,Furniture,Table,305.76
157,"Marshall, Perez and Johnson Keyboard",Technology,Keyboard,270.23
158,"Gomez, Evans and Wright Laptop",Technology,Laptop,1687.88
159,Wallace-Long Monitor,Technology,Monitor,673.99
160,Ponce Group Desk,Furniture,Desk,1923.61
161,Williams and Sons Stapler,Office Supplies,Stapler,336.53
162,Jefferson-Baker Laptop,Technology,Laptop,968.51
163,Odonnell-Morales Keyboard,Technology,Keyboard,487.37
164,"Johnson, Webb and Ball Paper",Office Supplies,Paper,5.24
165,Nixon-Ross Table,Furniture,Table,1246.99
166,"Barton, Palmer and Perez Keyboard",Technology,Keyboard,501.14
167,Dunn and Sons Keyboard,Technology,Keyboard,1773.29
168,Martin-Waters Bookcase,Furniture,Bookcase,1586.15
169,Bryant-Green Table,Furniture,Table,842.98
170,Garcia Inc Laptop,Technology,Laptop,1497.17
171,Whitaker Inc Pen,Office Supplies,Pen,1444.19
172,Long-Parrish Monitor,Technology,Monitor,939.62
173,"Davis, Wiggins and Lopez Bookcase",Furniture,Bookcase,1309.81
174,"Williams, Smith and Compton Laptop",Technology,Laptop,1966.68
175,Hawkins-Smith Mouse,Technology,Mouse,1894.26
176,"Davis, Hess and Leon Desk",Furniture,Desk,1289.96
177,Miller-Orr Keyboard,Technology,Keyboard,109.27
178,Heath-Lane Pen,Office Supplies,Pen,1728.78
179,Francis-Evans Bookcase,Furniture,Bookcase,1506.0
180,Wells Inc Monitor,Technology,Monitor,769.94
