shipment_id,order_id,ship_date,ship_mode,shipping_cost
1,1,2025-04-19,Same Day,42.56
2,2,2025-11-30,First Class,41.59
3,3,2025-05-11,Second Class,49.63
4,4,2025-01-04,Same Day,27.07
5,5,2025-03-26,Standard,37.22
6,6,2025-06-05,Standard,27.82
7,7,2024-12-08,Second Class,6.16
8,8,2024-07-09,Standard,41.54
9,9,2025-12-13,First Class,20.73
10,10,2026-02-04,Same Day,17.29
11,11,2026-03-12,First Class,43.55
12,12,2025-08-08,Standard,19.81
13,13,2025-10-22,Second Class,24.01
14,14,2026-01-20,First Class,30.23
15,15,2026-05-23,Second Class,14.62
16,16,2024-11-16,First Class,16.11
17,17,2025-03-19,Same Day,21.37
18,18,2026-04-29,Same Day,24.73
19,19,2025-09-03,Second Class,10.81
20,20,2024-12-01,First Class,23.33
21,21,2025-12-20,Second Class,26.3
22,22,2025-02-19,First Class,24.12
23,23,2025-01-24,Second Class,34.89
24,24,2025-02-13,First Class,41.11
25,25,2025-08-20,First Class,24.84
26,26,2024-11-27,Standard,9.15
27,27,2025-09-25,First Class,19.04
28,28,2025-01-28,First Class,37.06
29,29,2025-02-04,Standard,8.75
30,30,2025-08-01,Same Day,29.35
31,31,2026-03-28,Same Day,10.48
32,32,2024-11-05,Standard,22.75
33,33,2024-07-19,Second Class,19.24
34,34,2024-12-02,Standard,11.03
35,35,2025-04-11,Second Class,14.22
36,36,2025-09-18,Standard,30.49
37,37,2025-11-20,Same Day,26.7
38,38,2025-11-14,Second Class,23.43
39,39,2025-06-15,First Class,9.73
40,40,2025-12-24,Second Class,7.03
41,41,2024-12-27,First Class,22.8
42,42,2025-05-13,Second Class,41.23
43,43,2026-03-10,First Class,8.91
44,44,2024-06-28,Same Day,21.04
45,45,2024-08-22,Same Day,29.04
46,46,2024-12-11,Standard,14.8
47,47,2026-05-28,Standard,7.48
48,48,2025-09-28,Second Class,31.79
49,49,2024-08-07,First Class,11.09
50,50,2025-10-24,Standard,46.34
51,51,2024-11-29,Same Day,10.77
52,52,2025-01-02,Same Day,31.51
53,53,2024-07-08,Same Day,27.93
54,54,2025-12-05,Same Day,14.57
55,55,2024-07-02,Standard,41.87
56,56,2025-02-18,Same Day,35.24
57,57,2026-02-06,First Class,11.28
58,58,2026-03-02,Standard,17.3
59,59,2024-11-23,Same Day,18.73
60,60,2024-06-22,Second Class,15.8
61,61,2026-02-26,Same Day,39.03
62,62,2025-11-29,Standard,24.79
63,63,2024-06-16,First Class,15.21
64,64,2025-09-27,Second Class,25.93
65,65,2026-04-12,Standard,35.98
66,66,2025-10-28,First Class,13.36
67,67,2025-08-19,First Class,42.22
68,68,2026-04-25,Second Class,47.93
69,69,2025-08-30,Standard,21.63
70,70,2024-08-08,Same Day,34.3
71,71,2024-11-24,Same Day,5.99
72,72,2024-12-07,First Class,39.44
73,73,2025-09-29,Standard,32.47
